mass_mev,U2=1.000000e-07,U2=1.260000e-07,U2=1.580000e-07,U2=2.000000e-07,U2=2.510000e-07,U2=3.160000e-07,U2=3.980000e-07,U2=5.010000e-07,U2=6.310000e-07,U2=7.940000e-07,U2=1.000000e-06,U2=1.260000e-06,U2=1.580000e-06,U2=2.000000e-06,U2=2.510000e-06,U2=3.160000e-06,U2=3.980000e-06,U2=5.010000e-06,U2=6.310000e-06,U2=7.940000e-06,U2=1.000000e-05,U2=1.260000e-05,U2=1.580000e-05,U2=2.000000e-05,U2=2.510000e-05,U2=3.160000e-05,U2=3.980000e-05,U2=5.010000e-05,U2=6.310000e-05,U2=7.940000e-05,U2=1.000000e-04,U2=1.260000e-04,U2=1.580000e-04,U2=2.000000e-04,U2=2.510000e-04,U2=3.160000e-04,U2=3.980000e-04,U2=5.010000e-04,U2=6.310000e-04,U2=7.940000e-04,U2=1.000000e-03,U2=1.260000e-03,U2=1.580000e-03,U2=2.000000e-03,U2=2.510000e-03,U2=3.160000e-03,U2=3.980000e-03,U2=5.010000e-03,U2=6.310000e-03,U2=7.940000e-03,U2=1.000000e-02,U2=1.260000e-02,U2=1.580000e-02,U2=2.000000e-02,U2=2.510000e-02,U2=3.160000e-02,U2=3.980000e-02,U2=5.010000e-02,U2=6.310000e-02,U2=7.940000e-02,U2=1.000000e-01
5.8000000000e+00,1.4227966176e-03,2.2675153234e-03,3.5523962317e-03,5.6949746612e-03,8.9629033139e-03,1.4264391267e-02,2.2607453813e-02,3.5691659253e-02,5.6664280749e-02,8.9914051719e-02,1.4244944494e-01,2.2635331281e-01,3.5543108722e-01,5.6883085844e-01,8.9832059947e-01,1.4229598377e+00,2.2526487239e+00,3.5825868925e+00,5.6605492854e+00,8.9701457451e+00,1.4200216546e+01,2.2581641356e+01,3.5411773854e+01,5.6574307473e+01,8.9216971857e+01,1.4131895364e+02,2.2360584947e+02,3.5376297436e+02,5.5889399434e+02,8.8193879549e+02,1.3921632651e+03,2.1938073894e+03,3.4251087255e+03,5.4319122143e+03,8.4619096882e+03,1.3188784390e+04,2.0537442251e+04,3.1777670306e+04,4.8829714282e+04,7.4676829594e+04,1.1268351208e+05,1.6922429827e+05,2.4858799651e+05,3.6406709796e+05,5.1621910978e+05,7.1775939249e+05,9.7438922396e+05,1.2773611803e+06,1.6165557550e+06,1.9432214848e+06,2.2163137942e+06,2.3724062730e+06,2.3484204859e+06,2.1155914320e+06,1.7185489626e+06,1.2189394834e+06,7.3521921799e+05,3.6845980551e+05,1.4561466828e+05,4.3633712833e+04,9.2529490713e+03
6.0000000000e+00,1.6570916000e-03,2.6385509089e-03,4.1634156733e-03,6.6595263476e-03,1.0471488166e-02,1.6547643362e-02,2.6158978302e-02,4.1736431431e-02,6.6225442337e-02,1.0437269938e-01,1.6622132031e-01,2.6353119337e-01,4.1385289160e-01,6.6278024740e-01,1.0440357770e+00,1.6561203100e+00,2.6230625297e+00,4.1545777945e+00,6.6037327036e+00,1.0444479259e+01,1.6531868467e+01,2.6261844273e+01,4.1323622482e+01,6.5878066739e+01,1.0385873711e+02,1.6438008382e+02,2.6006577519e+02,4.1016163476e+02,6.4933093592e+02,1.0213498102e+03,1.6105057268e+03,2.5407366827e+03,3.9533543853e+03,6.2589514088e+03,9.7160525305e+03,1.5107146528e+04,2.3432165739e+04,3.6034104085e+04,5.5126017289e+04,8.3382393660e+04,1.2523871926e+05,1.8523626172e+05,2.6795313919e+05,3.8586569165e+05,5.3644700321e+05,7.2919022162e+05,9.5973358870e+05,1.2156296976e+06,1.4729293904e+06,1.6908422452e+06,1.8196066049e+06,1.8130033099e+06,1.6603612741e+06,1.3499851817e+06,9.7258209874e+05,5.9630099422e+05,3.0342674518e+05,1.2296686005e+05,3.7688114560e+04,8.2786237435e+03,1.1958345134e+03
6.2000000000e+00,1.9276582885e-03,3.0435667293e-03,4.8042744292e-03,7.6298270276e-03,1.2053883106e-02,1.9128221542e-02,3.0395505104e-02,4.8074694790e-02,7.6387862005e-02,1.2064633258e-01,1.9156205085e-01,3.0327156040e-01,4.7884139653e-01,7.6461992319e-01,1.2037356657e+00,1.9090176260e+00,3.0240336849e+00,4.8008965558e+00,7.6031611382e+00,1.2055508701e+01,1.9096291231e+01,3.0280964802e+01,4.7596665310e+01,7.6185372929e+01,1.1958702375e+02,1.8909750939e+02,2.9891804545e+02,4.7201823824e+02,7.4443907468e+02,1.1725904195e+03,1.8489655067e+03,2.9048250999e+03,4.5213452876e+03,7.1408528329e+03,1.1050507778e+04,1.7085950652e+04,2.6401737820e+04,4.0336973205e+04,6.1178353374e+04,9.1659011677e+04,1.3629280742e+05,1.9903962818e+05,2.8347862223e+05,3.9965731373e+05,5.4215193167e+05,7.1803166067e+05,9.1372617047e+05,1.1153748141e+06,1.2859724211e+06,1.3988834479e+06,1.4070136367e+06,1.2976766936e+06,1.0776200019e+06,7.8069689462e+05,4.9239934967e+05,2.5626715353e+05,1.0673182180e+05,3.3935902843e+04,7.7071302489e+03,1.1761564138e+03,1.0860964473e+02
6.4000000000e+00,2.1923152938e-03,3.4892467209e-03,5.4561619574e-03,8.7363306411e-03,1.3827318956e-02,2.1821391834e-02,3.4659377769e-02,5.5040062918e-02,8.7186571861e-02,1.3790682960e-01,2.1897998841e-01,3.4720358764e-01,5.4641919432e-01,8.7492118708e-01,1.3805492865e+00,2.1833586135e+00,3.4622916830e+00,5.4874898321e+00,8.7024141002e+00,1.3791874895e+01,2.1844337317e+01,3.4550767043e+01,5.4300257786e+01,8.6827299335e+01,1.3625987139e+02,2.1545297362e+02,3.4074652167e+02,5.3792963410e+02,8.4815595732e+02,1.3358974710e+03,2.0940722823e+03,3.2934329519e+03,5.1006681820e+03,8.0442896318e+03,1.2391842823e+04,1.9123691934e+04,2.9266307979e+04,4.4479305334e+04,6.6989591282e+04,9.9471644706e+04,1.4547466905e+05,2.0919508315e+05,2.9203953742e+05,4.0363358037e+05,5.3423799363e+05,6.8233185976e+05,8.3943759432e+05,9.7689250500e+05,1.0739092844e+06,1.0919501626e+06,1.0219837804e+06,8.6011465877e+05,6.4529431203e+05,4.0876739904e+05,2.1997719084e+05,9.5026596079e+04,3.1366885548e+04,7.5249118546e+03,1.2110912366e+03,1.2134441468e+02,6.6979393147e+00
6.6000000000e+00,2.4810616327e-03,3.9283197712e-03,6.1958879826e-03,9.9182087016e-03,1.5623321653e-02,2.4755085450e-02,3.9298741731e-02,6.2286440618e-02,9.8655367383e-02,1.5641670785e-01,2.4798791361e-01,3.9384970326e-01,6.1878671150e-01,9.9061616341e-01,1.5597875712e+00,2.4728014014e+00,3.9251223993e+00,6.2165070134e+00,9.8586659331e+00,1.5572132747e+01,2.4720015978e+01,3.9192927576e+01,6.1399557260e+01,9.8232754453e+01,1.5397933933e+02,2.4315498911e+02,3.8492332752e+02,6.0655923578e+02,9.5480228987e+02,1.4990595847e+03,2.3562024026e+03,3.6789618376e+03,5.7073260723e+03,8.9783578467e+03,1.3758222397e+04,2.1068826192e+04,3.2050868797e+04,4.8309463006e+04,7.2148305096e+04,1.0555817362e+05,1.5238583227e+05,2.1536155482e+05,2.9508428879e+05,3.9734003444e+05,5.0986379791e+05,6.3116078845e+05,7.4188466815e+05,8.2325335510e+05,8.5056503394e+05,8.0738050442e+05,6.9481614703e+05,5.2680323315e+05,3.5026458824e+05,1.9009471298e+05,8.6034627607e+04,2.9883483387e+04,7.5576651282e+03,1.3103094451e+03,1.4230893116e+02,8.7662015600e+00,2.6628867849e-01
6.8000000000e+00,2.7871420316e-03,4.4057260074e-03,6.9715360667e-03,1.1150293322e-02,1.7581707530e-02,2.7820979122e-02,4.4201235650e-02,6.9916683151e-02,1.1098091316e-01,1.7544782588e-01,2.7842304988e-01,4.4199774950e-01,6.9438473826e-01,1.1140340538e+00,1.7531108803e+00,2.7762290062e+00,4.3974305733e+00,6.9709310946e+00,1.1030999713e+01,1.7505240402e+01,2.7745725096e+01,4.3922471160e+01,6.8792388793e+01,1.0997911758e+02,1.7287709052e+02,2.7333539547e+02,4.3027225301e+02,6.7768073066e+02,1.0654629561e+03,1.6713105571e+03,2.6164851196e+03,4.0869730981e+03,6.3000979950e+03,9.8422899756e+03,1.5034479478e+04,2.2937208012e+04,3.4678648132e+04,5.1705333828e+04,7.6235221487e+04,1.1016450645e+05,1.5636270800e+05,2.1713026681e+05,2.8972105088e+05,3.7889668334e+05,4.7218246010e+05,5.6183621578e+05,6.3061219152e+05,6.6123500569e+05,6.3919879993e+05,5.5801477918e+05,4.3711314957e+05,2.9507561679e+05,1.7143197396e+05,7.8330114134e+04,2.8951231292e+04,7.8351376306e+03,1.4613469610e+03,1.7471258213e+02,1.2004565557e+01,4.2353532611e-01,6.4632926896e-03
7.0000000000e+00,3.0973198415e-03,4.9294280171e-03,7.7565637013e-03,1.2401407583e-02,1.9556054587e-02,3.0940483401e-02,4.9261271122e-02,7.7946765460e-02,1.2334925182e-01,1.9553824357e-01,3.0977672573e-01,4.9256283668e-01,7.7374755585e-01,1.2392060168e+00,1.9513343121e+00,3.0883800030e+00,4.8984421336e+00,7.7606246952e+00,1.2309174708e+01,1.9463225118e+01,3.0808929144e+01,4.8881461000e+01,7.6552506032e+01,1.2218107029e+02,1.9173744425e+02,3.0258792528e+02,4.7747520661e+02,7.5050688349e+02,1.1794286070e+03,1.8436451380e+03,2.8812344877e+03,4.4830449794e+03,6.8939511548e+03,1.0714234260e+04,1.6303340270e+04,2.4665432920e+04,3.6912590547e+04,5.4500486374e+04,7.9083397804e+04,1.1300888177e+05,1.5737805710e+05,2.1301192766e+05,2.7794485031e+05,3.5220131845e+05,4.2304592297e+05,4.8038719109e+05,5.1138379446e+05,5.0417977808e+05,4.5116798129e+05,3.6222125713e+05,2.5339312155e+05,1.5040172343e+05,7.4334863982e+04,2.8090141502e+04,8.2345095266e+03,1.6731076051e+03,2.2054965172e+02,1.7217477399e+01,7.0252453834e-01,1.3111787996e-02,9.1425782042e-05
7.2000000000e+00,3.4280595526e-03,5.4543840746e-03,8.5417895083e-03,1.3717562444e-02,2.1587147701e-02,3.4297078506e-02,5.4288188229e-02,8.6139340020e-02,1.3655055098e-01,2.1598809336e-01,3.4251781671e-01,5.4331479172e-01,8.5437571760e-01,1.3688839466e+00,2.1574158275e+00,3.4153852788e+00,5.4091546967e+00,8.5702733451e+00,1.3573746746e+01,2.1417301106e+01,3.3986925255e+01,5.3813110906e+01,8.4395261536e+01,1.3470062362e+02,2.1119379134e+02,3.3287328623e+02,5.2401259349e+02,8.2227790943e+02,1.2903902445e+03,2.0172292586e+03,3.1378149069e+03,4.8742611981e+03,7.4666867078e+03,1.1519175435e+04,1.7406709048e+04,2.6094465278e+04,3.8723317030e+04,5.6621135546e+04,8.1034132393e+04,1.1358980058e+05,1.5481805681e+05,2.0497243256e+05,2.5992702872e+05,3.1762209921e+05,3.6615260676e+05,3.9628895186e+05,3.9715743501e+05,3.6429418942e+05,2.9986833585e+05,2.1733710014e+05,1.3437157323e+05,6.8712619214e+04,2.8629379266e+04,8.6247227503e+03,1.9476841332e+03,2.8629187755e+02,2.5288987885e+01,1.2172375454e+00,2.7273876050e-02,2.4600157175e-04,7.0535498183e-07
7.4000000000e+00,3.7592890631e-03,5.9516466608e-03,9.3715074297e-03,1.5020001048e-02,2.3663192522e-02,3.7461382029e-02,5.9526456121e-02,9.4338693198e-02,1.4941710966e-01,2.3692860878e-01,3.7469408280e-01,5.9568292152e-01,9.3725447719e-01,1.4980778420e+00,2.3632007765e+00,3.7385023799e+00,5.9250681080e+00,9.3859101827e+00,1.4847590182e+01,2.3495837584e+01,3.7207853673e+01,5.8898095840e+01,9.2294811544e+01,1.4706778375e+02,2.3074378255e+02,3.6335728591e+02,5.7147846735e+02,8.9573475628e+02,1.4019476503e+03,2.1831622160e+03,3.3851834746e+03,5.2403147325e+03,7.9693761302e+03,1.2220207123e+04,1.8333374517e+04,2.7318333828e+04,4.0111732025e+04,5.7593461400e+04,8.1315951705e+04,1.1194419462e+05,1.4928163600e+05,1.9221215715e+05,2.3535932904e+05,2.7653931695e+05,3.0440192216e+05,3.1198975638e+05,2.9336801308e+05,2.4830906464e+05,1.8616151037e+05,1.2009612615e+05,6.4694911936e+04,2.8070165151e+04,9.5354537830e+03,2.2421856761e+03,3.7558486775e+02,3.8090695806e+01,2.1468562428e+00,5.9292486426e-02,6.7546629696e-04,2.6763032400e-06,2.8099038839e-09
7.6000000000e+00,4.0854460123e-03,6.5052853467e-03,1.0209264230e-02,1.6366010030e-02,2.5752865919e-02,4.0773379058e-02,6.4651225226e-02,1.0266453717e-01,1.6256757939e-01,2.5744644991e-01,4.0771791555e-01,6.4790906229e-01,1.0176056142e+00,1.6283978945e+00,2.5659392465e+00,4.0610766544e+00,6.4393700915e+00,1.0194211180e+01,1.6156631942e+01,2.5519398934e+01,4.0433405777e+01,6.3850257378e+01,9.9960137445e+01,1.5943459517e+02,2.4966217422e+02,3.9289382713e+02,6.1676705013e+02,9.6591958884e+02,1.5052323564e+03,2.3385913608e+03,3.6138460040e+03,5.5666120771e+03,8.4211434554e+03,1.2865652983e+04,1.9125538822e+04,2.8184656587e+04,4.0774645687e+04,5.7894955892e+04,8.0353899315e+04,1.0774190680e+05,1.4039337247e+05,1.7478249634e+05,2.0738734414e+05,2.3239813267e+05,2.4341256930e+05,2.3477543224e+05,2.0484380570e+05,1.5898128880e+05,1.0697673379e+05,6.0814417273e+04,2.8027847686e+04,1.0033450798e+04,2.7315058728e+03,4.8073579568e+02,5.7527171488e+01,3.8487888873e+00,1.2941647830e-01,1.9212067023e-03,1.0194684307e-05,1.6021669824e-08,5.3783132637e-12
