mass_mev,U2=1.00e-07,U2=1.26e-07,U2=1.58e-07,U2=2.00e-07,U2=2.51e-07,U2=3.16e-07,U2=3.98e-07,U2=5.01e-07,U2=6.31e-07,U2=7.94e-07,U2=1.00e-06,U2=1.26e-06,U2=1.58e-06,U2=2.00e-06,U2=2.51e-06,U2=3.16e-06,U2=3.98e-06,U2=5.01e-06,U2=6.31e-06,U2=7.94e-06,U2=1.00e-05,U2=1.26e-05,U2=1.58e-05,U2=2.00e-05,U2=2.51e-05,U2=3.16e-05,U2=3.98e-05,U2=5.01e-05,U2=6.31e-05,U2=7.94e-05,U2=1.00e-04,U2=1.26e-04,U2=1.58e-04,U2=2.00e-04,U2=2.51e-04,U2=3.16e-04,U2=3.98e-04,U2=5.01e-04,U2=6.31e-04,U2=7.94e-04,U2=1.00e-03,U2=1.26e-03,U2=1.58e-03,U2=2.00e-03,U2=2.51e-03,U2=3.16e-03,U2=3.98e-03,U2=5.01e-03,U2=6.31e-03,U2=7.94e-03,U2=1.00e-02,U2=1.26e-02,U2=1.58e-02,U2=2.00e-02,U2=2.51e-02,U2=3.16e-02,U2=3.98e-02,U2=5.01e-02,U2=6.31e-02,U2=7.94e-02,U2=1.00e-01,U2=1.26e-01,U2=1.58e-01,U2=2.00e-01,U2=2.51e-01,U2=3.16e-01,U2=3.98e-01,U2=5.01e-01,U2=6.31e-01,U2=7.94e-01,U2=1.00e+00
10.600000,95.066000,95.011000,95.010000,95.058000,94.873000,95.046000,94.912000,95.010000,95.069000,94.995000,95.067000,94.935000,95.008000,94.917000,95.072000,95.039000,94.932000,94.969000,95.109000,95.062000,94.881000,94.841000,94.909000,94.814000,94.848000,94.994000,94.745000,94.899000,94.793000,94.816000,94.808000,94.700000,94.448000,94.331000,94.435000,94.225000,94.161000,94.068000,93.940000,93.672000,93.504000,93.414000,92.908000,92.938000,92.526000,92.282000,91.909000,91.498000,91.237000,90.937000,90.502000,90.128000,89.983000,89.558000,89.659000,89.252000,89.395000,89.415000,89.349000,89.229000,89.199000,89.191000,89.115000,89.102000,nan,nan,nan,nan,nan,nan,nan
10.800000,95.132000,95.159000,95.063000,95.069000,95.042000,95.094000,95.033000,94.922000,95.023000,95.098000,95.005000,95.112000,95.013000,95.063000,95.048000,95.136000,94.996000,95.069000,95.004000,95.043000,94.993000,94.909000,95.034000,94.953000,94.882000,94.842000,95.008000,95.035000,94.845000,94.956000,94.788000,94.808000,94.576000,94.620000,94.299000,94.227000,94.254000,94.003000,93.865000,93.590000,93.535000,93.431000,93.169000,92.958000,92.674000,92.299000,92.105000,91.528000,91.480000,91.017000,90.761000,90.483000,90.123000,90.045000,89.931000,89.895000,89.791000,89.607000,89.551000,89.673000,89.618000,89.546000,89.540000,89.683000,nan,nan,nan,nan,nan,nan,nan
11.000000,95.130000,95.192000,95.144000,95.181000,95.212000,95.137000,95.097000,95.119000,95.192000,95.238000,95.111000,95.175000,95.208000,95.198000,95.029000,95.144000,95.170000,95.032000,95.259000,95.214000,95.141000,95.112000,94.984000,95.057000,95.053000,95.058000,95.043000,94.959000,94.935000,94.773000,94.704000,94.807000,94.639000,94.413000,94.459000,94.320000,94.257000,94.162000,94.029000,93.801000,93.638000,93.366000,93.182000,92.968000,92.572000,92.396000,92.145000,91.730000,91.515000,91.215000,90.920000,90.611000,90.529000,90.276000,90.181000,90.170000,90.134000,89.890000,90.152000,90.142000,90.080000,89.833000,90.022000,nan,nan,nan,nan,nan,nan,nan,nan
11.200000,95.214000,95.111000,95.298000,95.149000,95.252000,95.208000,95.303000,95.199000,95.146000,95.154000,95.253000,95.214000,95.209000,95.095000,95.207000,95.213000,95.143000,95.190000,95.205000,95.264000,95.282000,95.199000,95.171000,95.092000,95.087000,95.171000,95.109000,95.088000,94.882000,94.892000,94.786000,94.855000,94.629000,94.629000,94.525000,94.517000,94.188000,94.292000,93.957000,93.808000,93.726000,93.477000,93.385000,93.046000,92.491000,92.460000,92.297000,91.857000,91.663000,91.347000,91.117000,91.004000,90.810000,90.673000,90.605000,90.628000,90.515000,90.536000,90.452000,90.290000,90.413000,90.414000,90.453000,nan,nan,nan,nan,nan,nan,nan,nan
11.400000,95.273000,95.244000,95.313000,95.300000,95.363000,95.310000,95.368000,95.345000,95.369000,95.317000,95.265000,95.236000,95.311000,95.226000,95.297000,95.183000,95.269000,95.311000,95.258000,95.208000,95.116000,95.218000,95.181000,95.233000,95.127000,95.102000,95.150000,94.986000,94.978000,94.964000,94.929000,94.799000,94.745000,94.739000,94.533000,94.349000,94.416000,94.275000,94.092000,93.811000,93.675000,93.471000,93.493000,93.059000,92.791000,92.486000,92.117000,91.972000,91.701000,91.369000,91.334000,91.226000,90.849000,90.808000,90.876000,90.748000,90.851000,90.735000,90.813000,90.545000,90.734000,90.753000,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.600000,95.187000,95.365000,95.289000,95.332000,95.365000,95.335000,95.491000,95.286000,95.346000,95.354000,95.282000,95.270000,95.328000,95.311000,95.363000,95.239000,95.269000,95.297000,95.319000,95.352000,95.281000,95.186000,95.273000,95.236000,95.263000,95.114000,95.200000,95.046000,95.057000,95.022000,94.888000,94.856000,94.876000,94.701000,94.610000,94.569000,94.347000,94.394000,94.099000,93.980000,93.938000,93.634000,93.238000,93.087000,92.792000,92.626000,92.322000,92.050000,91.734000,91.678000,91.463000,91.343000,91.026000,91.148000,91.168000,91.060000,90.967000,91.159000,91.067000,91.066000,90.910000,90.948000,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.800000,95.427000,95.384000,95.389000,95.402000,95.359000,95.333000,95.398000,95.431000,95.288000,95.344000,95.324000,95.354000,95.293000,95.375000,95.308000,95.294000,95.351000,95.346000,95.236000,95.394000,95.450000,95.198000,95.306000,95.217000,95.174000,95.166000,95.301000,95.182000,95.174000,95.079000,95.097000,94.940000,94.862000,94.826000,94.766000,94.606000,94.478000,94.315000,94.188000,93.912000,93.776000,93.405000,93.276000,93.164000,92.889000,92.710000,92.660000,92.316000,91.916000,91.800000,91.799000,91.452000,91.572000,91.488000,91.476000,91.497000,91.229000,91.373000,91.364000,91.207000,91.310000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.000000,95.403000,95.514000,95.535000,95.501000,95.393000,95.447000,95.330000,95.364000,95.402000,95.448000,95.419000,95.412000,95.322000,95.434000,95.325000,95.357000,95.530000,95.406000,95.443000,95.514000,95.392000,95.443000,95.301000,95.325000,95.256000,95.365000,95.241000,95.182000,95.115000,95.185000,95.148000,94.965000,94.931000,94.872000,94.743000,94.599000,94.441000,94.363000,94.287000,94.023000,93.799000,93.702000,93.440000,93.199000,93.137000,92.790000,92.717000,92.511000,92.177000,91.937000,91.906000,91.828000,91.870000,91.897000,91.941000,91.670000,91.737000,91.803000,91.667000,91.684000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.200000,95.516000,95.308000,95.681000,95.474000,95.500000,95.563000,95.436000,95.424000,95.447000,95.500000,95.502000,95.353000,95.450000,95.477000,95.453000,95.355000,95.417000,95.492000,95.364000,95.458000,95.372000,95.403000,95.386000,95.369000,95.318000,95.266000,95.314000,95.200000,95.174000,95.184000,94.984000,95.166000,94.930000,94.856000,94.781000,94.735000,94.419000,94.365000,94.265000,94.045000,93.882000,93.892000,93.391000,93.202000,93.003000,92.814000,92.672000,92.533000,92.341000,92.208000,92.265000,92.062000,92.074000,92.044000,92.028000,91.944000,91.957000,91.819000,91.872000,91.901000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.400000,95.564000,95.554000,95.590000,95.516000,95.476000,95.557000,95.533000,95.460000,95.507000,95.482000,95.626000,95.559000,95.612000,95.544000,95.444000,95.603000,95.416000,95.557000,95.461000,95.520000,95.399000,95.483000,95.427000,95.440000,95.535000,95.480000,95.426000,95.404000,95.379000,95.111000,95.129000,95.139000,95.035000,95.007000,94.681000,94.568000,94.495000,94.392000,94.315000,94.341000,94.104000,93.684000,93.641000,93.282000,93.218000,93.015000,92.859000,92.648000,92.587000,92.419000,92.485000,92.370000,92.359000,92.371000,92.242000,92.257000,92.320000,92.268000,92.073000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
