mass_mev,U2=1.000000e-07,U2=1.260000e-07,U2=1.580000e-07,U2=2.000000e-07,U2=2.510000e-07,U2=3.160000e-07,U2=3.980000e-07,U2=5.010000e-07,U2=6.310000e-07,U2=7.940000e-07,U2=1.000000e-06,U2=1.260000e-06,U2=1.580000e-06,U2=2.000000e-06,U2=2.510000e-06,U2=3.160000e-06,U2=3.980000e-06,U2=5.010000e-06,U2=6.310000e-06,U2=7.940000e-06,U2=1.000000e-05,U2=1.260000e-05,U2=1.580000e-05,U2=2.000000e-05,U2=2.510000e-05,U2=3.160000e-05,U2=3.980000e-05,U2=5.010000e-05,U2=6.310000e-05,U2=7.940000e-05,U2=1.000000e-04,U2=1.260000e-04,U2=1.580000e-04,U2=2.000000e-04,U2=2.510000e-04,U2=3.160000e-04,U2=3.980000e-04,U2=5.010000e-04,U2=6.310000e-04,U2=7.940000e-04,U2=1.000000e-03,U2=1.260000e-03,U2=1.580000e-03,U2=2.000000e-03,U2=2.510000e-03,U2=3.160000e-03,U2=3.980000e-03,U2=5.010000e-03,U2=6.310000e-03,U2=7.940000e-03,U2=1.000000e-02,U2=1.260000e-02,U2=1.580000e-02,U2=2.000000e-02,U2=2.510000e-02,U2=3.160000e-02,U2=3.980000e-02,U2=5.010000e-02,U2=6.310000e-02,U2=7.940000e-02,U2=1.000000e-01
5.0000000000e+00,7.7455028988e-04,1.2213213252e-03,1.9387362969e-03,3.1027106447e-03,4.8515991355e-03,7.6862431483e-03,1.2233720634e-02,1.9562116554e-02,3.0939649393e-02,4.8903484564e-02,7.7323936217e-02,1.2299765084e-01,1.9322426567e-01,3.1018698747e-01,4.8791305269e-01,7.7370664263e-01,1.2270233943e+00,1.9431527871e+00,3.0840773639e+00,4.8792159303e+00,7.7420934626e+00,1.2285771668e+01,1.9315937808e+01,3.0933082533e+01,4.8697220381e+01,7.7138089578e+01,1.2226220964e+02,1.9354682447e+02,3.0664879237e+02,4.8476706683e+02,7.6743173526e+02,1.2153472186e+03,1.9051321542e+03,3.0403213776e+03,4.7652816241e+03,7.5061567701e+03,1.1814555176e+04,1.8538506142e+04,2.9047986261e+04,4.5293453907e+04,7.0473905765e+04,1.0921816994e+05,1.6676471124e+05,2.5721790896e+05,3.8707167395e+05,5.7947940245e+05,8.5672737458e+05,1.2454025847e+06,1.7776172619e+06,2.4766920892e+06,3.3626920820e+06,4.4229758336e+06,5.5734885775e+06,6.7690701311e+06,7.7391064138e+06,8.3177982363e+06,8.2818878404e+06,7.5277677983e+06,6.1323592181e+06,4.3880629901e+06,2.6784927932e+06
5.2000000000e+00,9.4065659614e-04,1.5010624825e-03,2.3600062147e-03,3.7452925190e-03,5.9259680515e-03,9.3691810828e-03,1.4889277525e-02,2.3688935792e-02,3.7440461301e-02,5.9365787005e-02,9.3815853036e-02,1.4904890748e-01,2.3443777280e-01,3.7610866551e-01,5.9213807499e-01,9.3845735201e-01,1.4883757977e+00,2.3586799194e+00,3.7386299430e+00,5.9199592381e+00,9.3886070019e+00,1.4902910554e+01,2.3423313615e+01,3.7515309974e+01,5.9043902228e+01,9.3507926308e+01,1.4819964561e+02,2.3452060632e+02,3.7144506882e+02,5.8695831516e+02,9.2870449160e+02,1.4697776367e+03,2.3021193970e+03,3.6699475733e+03,5.7447086962e+03,9.0341336379e+03,1.4190263525e+04,2.2209481107e+04,3.4688645105e+04,5.3873876650e+04,8.3410356256e+04,1.2847368357e+05,1.9471570859e+05,2.9748925644e+05,4.4269218529e+05,6.5368503454e+05,9.5046113025e+05,1.3543425651e+06,1.8874177487e+06,2.5561372090e+06,3.3551143061e+06,4.2387682493e+06,5.0968663260e+06,5.8404964452e+06,6.2456800631e+06,6.1917597341e+06,5.5966075166e+06,4.5317527073e+06,3.2122042522e+06,1.9451919189e+06,9.6970470102e+05
5.4000000000e+00,1.1277066156e-03,1.7965305423e-03,2.8191434671e-03,4.5230299023e-03,7.1225590055e-03,1.1222867220e-02,1.7829690952e-02,2.8181046010e-02,4.4882584747e-02,7.1148984427e-02,1.1266282990e-01,1.7883740157e-01,2.8107114706e-01,4.5072467817e-01,7.0963955178e-01,1.1249488248e+00,1.7833986065e+00,2.8266430629e+00,4.4830903101e+00,7.0943382917e+00,1.1252018171e+01,1.7856124242e+01,2.8067974519e+01,4.4935016201e+01,7.0723457860e+01,1.1198708712e+02,1.7742168273e+02,2.8069292300e+02,4.4437260429e+02,7.0185467116e+02,1.1097856471e+03,1.7549386807e+03,2.7460935169e+03,4.3720743772e+03,6.8330593657e+03,1.0724460953e+04,1.6803578754e+04,2.6218595742e+04,4.0792932562e+04,6.3053372948e+04,9.7045447119e+04,1.4838367431e+05,2.2291949162e+05,3.3677989656e+05,4.9461125942e+05,7.1868646771e+05,1.0249181932e+06,1.4270734340e+06,1.9346611307e+06,2.5359581550e+06,3.2015106144e+06,3.8612523132e+06,4.3985645312e+06,4.7127834762e+06,4.6646702972e+06,4.2111288461e+06,3.4018171559e+06,2.4075698003e+06,1.4504307074e+06,7.2217482973e+05,2.8366323297e+05
5.6000000000e+00,1.3265729672e-03,2.1342902377e-03,3.3498032857e-03,5.3445311722e-03,8.4259648357e-03,1.3362579345e-02,2.1233284768e-02,3.3537128271e-02,5.3221703673e-02,8.4181070604e-02,1.3376068900e-01,2.1173529369e-01,3.3347697499e-01,5.3358684060e-01,8.4117500313e-01,1.3331514474e+00,2.1139992625e+00,3.3492101323e+00,5.3124564358e+00,8.4078581803e+00,1.3331540512e+01,2.1153825275e+01,3.3243080787e+01,5.3219006764e+01,8.3749763019e+01,1.3257276266e+02,2.0997035177e+02,3.3205834390e+02,5.2542301096e+02,8.2939392880e+02,1.3104194701e+03,2.0702213028e+03,3.2356164632e+03,5.1434600515e+03,8.0236357985e+03,1.2563227924e+04,1.9626466580e+04,3.0510562897e+04,4.7253151803e+04,7.2626519265e+04,1.1099726622e+05,1.6825449960e+05,2.5016950107e+05,3.7302206329e+05,5.3951868964e+05,7.6946949982e+05,1.0731138510e+06,1.4550598677e+06,1.9112253511e+06,2.4132715286e+06,2.9135834844e+06,3.3315732821e+06,3.5664093832e+06,3.5367154405e+06,3.2019099619e+06,2.5941439535e+06,1.8397084776e+06,1.1133575884e+06,5.5484729958e+05,2.1968574933e+05,6.5218594596e+04
5.8000000000e+00,1.5659391118e-03,2.4917476989e-03,3.9069091698e-03,6.2616543829e-03,9.8669095686e-03,1.5678084111e-02,2.4842809843e-02,3.9319253589e-02,6.2393226837e-02,9.8735040212e-02,1.5653097110e-01,2.4854325458e-01,3.9081122766e-01,6.2623810558e-01,9.8643921450e-01,1.5630566008e+00,2.4793888327e+00,3.9268972427e+00,6.2268159257e+00,9.8567614363e+00,1.5627129765e+01,2.4791288939e+01,3.8955989806e+01,6.2360762639e+01,9.8096683662e+01,1.5524266859e+02,2.4579904527e+02,3.8852423792e+02,6.1443255278e+02,9.6916351153e+02,1.5298833657e+03,2.4140668486e+03,3.7677062553e+03,5.9782659384e+03,9.3051416220e+03,1.4528773136e+04,2.2617332112e+04,3.5006687126e+04,5.3923310160e+04,8.2326619034e+04,1.2478932444e+05,1.8725716307e+05,2.7509018493e+05,4.0399380578e+05,5.7409985741e+05,8.0147327619e+05,1.0895795768e+06,1.4333369019e+06,1.8160283039e+06,2.1972201321e+06,2.5207153840e+06,2.7116933443e+06,2.7031555946e+06,2.4528311927e+06,2.0040686188e+06,1.4331528381e+06,8.7420984054e+05,4.4116356023e+05,1.7628254214e+05,5.3403968953e+04,1.1419869264e+04
6.0000000000e+00,1.8147776281e-03,2.8933065507e-03,4.5560067773e-03,7.3008313756e-03,1.1448628618e-02,1.8109397831e-02,2.8697879721e-02,4.5633036410e-02,7.2456720281e-02,1.1445002400e-01,1.8198086305e-01,2.8876333345e-01,4.5371144176e-01,7.2678054192e-01,1.1451025260e+00,1.8144491421e+00,2.8772692697e+00,4.5568071628e+00,7.2274627379e+00,1.1437982411e+01,1.8131621425e+01,2.8764342030e+01,4.5188109617e+01,7.2313220205e+01,1.1373428509e+02,1.7992566093e+02,2.8474770638e+02,4.4986195202e+02,7.1094109085e+02,1.1203925079e+03,1.7666996422e+03,2.7839418421e+03,4.3376721367e+03,6.8675540486e+03,1.0661164789e+04,1.6590685637e+04,2.5720238123e+04,3.9605315372e+04,6.0620008676e+04,9.1830830022e+04,1.3786585271e+05,2.0446631902e+05,2.9622483770e+05,4.2750464398e+05,5.9538407256e+05,8.1119380319e+05,1.0712627540e+06,1.3616076542e+06,1.6558698965e+06,1.9083782860e+06,2.0655518656e+06,2.0725011830e+06,1.9043242543e+06,1.5608208640e+06,1.1335059366e+06,7.0207572258e+05,3.5985572075e+05,1.4712474282e+05,4.5476952156e+04,1.0083831206e+04,1.4696619229e+03
6.2000000000e+00,2.1019063227e-03,3.3203149831e-03,5.2390643822e-03,8.3394290450e-03,1.3160841483e-02,2.0855699098e-02,3.3157527113e-02,5.2493606593e-02,8.3392862450e-02,1.3179054070e-01,2.0905812536e-01,3.3169083078e-01,5.2178423944e-01,8.3560452782e-01,1.3162198107e+00,2.0856970206e+00,3.3070511197e+00,5.2385227460e+00,8.3081037405e+00,1.3145536595e+01,2.0837470244e+01,3.3051327034e+01,5.1908722924e+01,8.3052122410e+01,1.3057062470e+02,2.0648566744e+02,3.2660785981e+02,5.1565840943e+02,8.1424423276e+02,1.2819258776e+03,2.0187857653e+03,3.1760259564e+03,4.9388240877e+03,7.7991817657e+03,1.2069934441e+04,1.8709771741e+04,2.8864768518e+04,4.4181661378e+04,6.7124952957e+04,1.0076848249e+05,1.4961448079e+05,2.1891732092e+05,3.1215299648e+05,4.4162005098e+05,6.0112199985e+05,7.9673294054e+05,1.0181814003e+06,1.2447129352e+06,1.4449615392e+06,1.5758515804e+06,1.5963938376e+06,1.4795926043e+06,1.2388572764e+06,9.0387729197e+05,5.7346425705e+05,3.0108695812e+05,1.2626053944e+05,4.0463469789e+04,9.2859228522e+03,1.4324504480e+03,1.3358791263e+02
6.4000000000e+00,2.3869469480e-03,3.7884592310e-03,5.9439200355e-03,9.4993156762e-03,1.5035414513e-02,2.3758156774e-02,3.7738869522e-02,5.9811852512e-02,9.4847396039e-02,1.5017132142e-01,2.3821851574e-01,3.7812679710e-01,5.9455431137e-01,9.5233663189e-01,1.4994887328e+00,2.3763930184e+00,3.7675785750e+00,5.9673871029e+00,9.4609968256e+00,1.4970015082e+01,2.3724761949e+01,3.7625934685e+01,5.9079172010e+01,9.4490477021e+01,1.4850888415e+02,2.3472891187e+02,3.7105827191e+02,5.8538058426e+02,9.2346448617e+02,1.4521098199e+03,2.2833381844e+03,3.5854694376e+03,5.5625852621e+03,8.7577864978e+03,1.3504329486e+04,2.0838037259e+04,3.1966869079e+04,4.8590551934e+04,7.3193469781e+04,1.0873832474e+05,1.5940682560e+05,2.2968026608e+05,3.2162944650e+05,4.4489295281e+05,5.9012260425e+05,7.5819705731e+05,9.3369400403e+05,1.0922932912e+06,1.2030440307e+06,1.2324493935e+06,1.1581865145e+06,9.8089187539e+05,7.3879638215e+05,4.7197963103e+05,2.5653017555e+05,1.1140542109e+05,3.7076696866e+04,8.9697609482e+03,1.4583553935e+03,1.4773057218e+02,8.2081583739e+00
6.6000000000e+00,2.6929715651e-03,4.2677325401e-03,6.7196876336e-03,1.0753777189e-02,1.6936951621e-02,2.6845548296e-02,4.2619203907e-02,6.7643097510e-02,1.0708626937e-01,1.6963831838e-01,2.6892653351e-01,4.2700677971e-01,6.7129544088e-01,1.0754007593e+00,1.6935252610e+00,2.6830739032e+00,4.2543679337e+00,6.7379575480e+00,1.0680880082e+01,1.6897028773e+01,2.6773257063e+01,4.2451045303e+01,6.6640860976e+01,1.0655005147e+02,1.6737612432e+02,2.6440523810e+02,4.1766400921e+02,6.5833033318e+02,1.0373775422e+03,1.6289345352e+03,2.5568651821e+03,4.0060999603e+03,6.1983601646e+03,9.7245202885e+03,1.4932029213e+04,2.2919582477e+04,3.4930923434e+04,5.2671736198e+04,7.8563827228e+04,1.1533261253e+05,1.6664206054e+05,2.3594801953e+05,3.2372416574e+05,4.3657503262e+05,5.6249660526e+05,6.9785476870e+05,8.2427050514e+05,9.1760110022e+05,9.5235246544e+05,9.0899731418e+05,7.8457993770e+05,5.9985337746e+05,4.0054958288e+05,2.1992030470e+05,1.0015089646e+05,3.4987862672e+04,8.9271845028e+03,1.5620865563e+03,1.7063625602e+02,1.0635754483e+01,3.2502768100e-01
6.8000000000e+00,3.0146582929e-03,4.7705283070e-03,7.5378551220e-03,1.2083109365e-02,1.9019794167e-02,3.0060160476e-02,4.7708270623e-02,7.5666587105e-02,1.2004685138e-01,1.9001432396e-01,3.0109554437e-01,4.7822832760e-01,7.5176712274e-01,1.2044653092e+00,1.8963825846e+00,3.0039591493e+00,4.7628868839e+00,7.5431548191e+00,1.1955779237e+01,1.8909865189e+01,2.9957809769e+01,4.7485292669e+01,7.4521610184e+01,1.1909719915e+02,1.8698916263e+02,2.9519136406e+02,4.6591472985e+02,7.3361919422e+02,1.1544853190e+03,1.8098745528e+03,2.8350382156e+03,4.4305152506e+03,6.8335969054e+03,1.0677598507e+04,1.6315932844e+04,2.4891704662e+04,3.7652437658e+04,5.6255871253e+04,8.2972596307e+04,1.2016460487e+05,1.7080047189e+05,2.3712202471e+05,3.1795200983e+05,4.1676384642e+05,5.1974997810e+05,6.1999141005e+05,6.9875475525e+05,7.3561281768e+05,7.1402904371e+05,6.2922406683e+05,4.9330558924e+05,3.3586661748e+05,1.9560035366e+05,9.0373253956e+04,3.3627076243e+04,9.1570492620e+03,1.7224943258e+03,2.0772409536e+02,1.4362964294e+01,5.1225230236e-01,7.8813914539e-03
